video_file,video_id,session_id,status,review_status,source,question,option_A,option_B,option_C,option_D,answer
0001.mp4,vid_0001,1,ready,independent_model_review_passed,online_reviewed,两车相遇时，从车窗伸出手的人在做什么？,挥手打招呼,伸手接雨,交换花束,丢弃垃圾,C
0002.mp4,vid_0002,7,ready,independent_model_review_passed,online_reviewed,视频里走廊区域摆放了大量什么物品？,家用电器,快递纸箱,健身器材,盆栽绿植,D
0003.mp4,vid_0003,5,ready,independent_model_review_passed,online_reviewed,视频背景中的女生主要在做什么？,烹饪做饭,跳舞表演,对镜自拍,跑步锻炼,C
0004.mp4,vid_0004,6,ready,independent_model_review_passed,online_reviewed,视频内容主要和下列哪项活动有关？,装修施工,跑步锻炼,炒菜做饭,唱歌演出,A
0005.mp4,vid_0005,10,ready,independent_model_review_passed,online_reviewed,视频主要展示的食物是？,奶茶,冰淇淋,馒头,烤肉,C
0006.mp4,vid_0006,12,ready,independent_model_review_passed,online_reviewed,视频展现的主要场景是哪里？,高山草甸,海边沙滩,室内教室,城市街道,D
0007.mp4,vid_0007,13,ready,independent_model_review_passed,online_reviewed,穿黑色上衣的男子主要在做什么？,写作业,弹奏吉他,反复挥动长刀具,煮面条,C
0008.mp4,vid_0008,16,ready,independent_model_review_passed,online_reviewed,视频中的卡通人物主要在做什么？,磨刀,跳舞,扫地,炒菜,A
0009.mp4,vid_0009,16,ready,independent_model_review_passed,online_reviewed,视频中的主要女性人物在做什么？,跳舞,走路,做饭,打球,B
0010.mp4,vid_0010,13,ready,independent_model_review_passed,online_reviewed,画面中的女性主要在做什么？,走路,打球,做饭,跳舞,A
0011.mp4,vid_0011,10,ready,independent_model_review_passed,online_reviewed,视频里的男女主要在做什么？,亲密相伴互动,激烈争吵打斗,伏案学习工作,一起烹饪做饭,A
0012.mp4,vid_0012,12,ready,independent_model_review_passed,online_reviewed,视频主要展示的是什么内容？,户外风景,歌舞演出,游戏界面,美食制作,C
