视频编号,视频文件,Session,题目,A,B,C,D,正确答案,视频时长秒
vid_0001,0001.mp4,1,两车相遇时，从车窗伸出手的人在做什么？,挥手打招呼,伸手接雨,交换花束,丢弃垃圾,C,5.107
vid_0002,0002.mp4,7,视频里走廊区域摆放了大量什么物品？,家用电器,快递纸箱,健身器材,盆栽绿植,D,5.129
vid_0003,0003.mp4,5,视频背景中的女生主要在做什么？,烹饪做饭,跳舞表演,对镜自拍,跑步锻炼,C,5.131
vid_0004,0004.mp4,6,视频内容主要和下列哪项活动有关？,装修施工,跑步锻炼,炒菜做饭,唱歌演出,A,5.154
vid_0005,0005.mp4,10,视频主要展示的食物是？,奶茶,冰淇淋,馒头,烤肉,C,5.177
vid_0006,0006.mp4,12,视频展现的主要场景是哪里？,高山草甸,海边沙滩,室内教室,城市街道,D,5.363
vid_0007,0007.mp4,13,穿黑色上衣的男子主要在做什么？,写作业,弹奏吉他,反复挥动长刀具,煮面条,C,5.388
vid_0008,0008.mp4,16,视频中的卡通人物主要在做什么？,磨刀,跳舞,扫地,炒菜,A,5.479
vid_0009,0009.mp4,16,视频中的主要女性人物在做什么？,跳舞,走路,做饭,打球,B,5.479
vid_0010,0010.mp4,13,画面中的女性主要在做什么？,走路,打球,做饭,跳舞,A,5.479
vid_0011,0011.mp4,10,视频里的男女主要在做什么？,亲密相伴互动,激烈争吵打斗,伏案学习工作,一起烹饪做饭,A,5.525
vid_0012,0012.mp4,12,视频主要展示的是什么内容？,户外风景,歌舞演出,游戏界面,美食制作,C,5.572
vid_0013,0013.mp4,5,视频主要展示的是什么？,健身教学视频,旅游攻略指南,装修计价相关内容,美食制作教程,C,5.618
vid_0014,0014.mp4,6,视频里的小宝宝主要在做什么？,坐着吃饭,躺着活动四肢,站着唱歌,走路奔跑,B,5.64
vid_0015,0015.mp4,7,视频画面上方持续出现的造像是？,老虎,熊猫,兔子,佛像,D,5.711
vid_0016,0016.mp4,9,视频主要展示的水果是什么？,樱桃,苹果,葡萄,榴莲,D,5.756
vid_0017,0017.mp4,1,视频主要展示的是什么场景？,茂密的山林,开挖的工地,繁华的商圈,海边的沙滩,B,5.756
vid_0018,0018.mp4,15,视频主要展示的物品是什么？,围棋,象棋,扑克牌,麻将牌,D,5.758
vid_0019,0019.mp4,4,视频中可以看到以下哪种活动？,农田插秧劳作,玩射击类电子游戏,现场跳芭蕾舞,医生做外科手术,B,5.826
vid_0020,0020.mp4,11,视频中的男子主要在做什么？,弹奏乐器,进行健身锻炼,看书学习,烹饪做饭,B,5.826
vid_0021,0021.mp4,2,画面中连着充电线在充电的物品是什么？,充电宝,手机,台灯,电动牙刷,B,5.874
vid_0022,0022.mp4,3,画面中横向移动的红色物体是什么？,轮船,小汽车,飞机,自行车,B,5.919
vid_0023,0023.mp4,8,视频里小女孩身后的卡通动物是？,猴子,熊猫,老虎,兔子,B,5.99
vid_0024,0024.mp4,14,视频里的女子主要身处什么场景？,厨房,雪地,沙漠,花海,D,6.128
vid_0025,0025.mp4,17,视频里的女性主要在做什么？,做饭炒菜,打羽毛球,转动身体,伏案写作,C,6.129
vid_0026,0026.mp4,5,视频主要展示的场景是什么？,海边沙滩,开满黄花的田间小路,室内办公场所,城市柏油马路,B,6.129
vid_0027,0027.mp4,12,视频中的动物主要在做什么？,睡觉,奔跑,吃东西,站立,B,6.151
vid_0028,0028.mp4,4,视频中的男子主要在做什么？,唱歌跳舞,进行喷洒作业,清扫地面,烹饪饭菜,B,6.152
vid_0029,0029.mp4,17,视频的背景主要是什么场景？,沙漠戈壁风光,临河自然风景,室内家居场景,城市商业街景,B,6.152
vid_0030,0030.mp4,14,视频中的前景女士主要在做什么？,弹奏乐器,打扫卫生,烹饪炒菜,对着镜头自拍,D,6.152
vid_0031,0031.mp4,11,视频主要展示的是什么？,山间独栋别墅,城市摩天大楼,草原成群牛羊,海面巨型轮船,A,6.176
vid_0032,0032.mp4,3,这段视频的拍摄视角位于什么交通工具内？,汽车,飞机,轮船,火车,A,6.176
vid_0033,0033.mp4,15,视频中出现的主要动物是什么？,狗,仓鼠,猫,兔子,A,6.197
vid_0034,0034.mp4,8,视频主要展示的是哪类内容？,图文内容,真人短视频,美食制作视频,卡通动画片,A,6.199
vid_0035,0035.mp4,1,视频中从植物上不断滴落的是什么？,花瓣,小石子,水滴,碎叶,C,6.222
vid_0036,0036.mp4,2,视频中的人物主要在做什么？,灌溉农田,采摘水果,收割水稻,种植大葱,D,6.245
vid_0037,0037.mp4,6,视频主要展示的场景是哪里？,海边沙滩,大型工厂,茂密森林,居民住宅区,D,6.245
vid_0038,0038.mp4,9,视频中的人物主要在做什么？,画画,读书,做饭,跳舞,D,6.267
vid_0039,0039.mp4,7,视频里的人物主要在做什么？,向前行走,跳舞表演,坐着办公,集体就餐,A,6.268
vid_0040,0040.mp4,10,视频中的动物主要在什么地方活动？,岩石上,树上,水中,草地,C,6.361
vid_0041,0041.mp4,16,视频的主要拍摄场景是哪里？,商场入口,公园大门,菜市场内部,学校门口,D,6.361
vid_0042,0042.mp4,13,视频主要展示什么内容？,美食制作过程,机械组装过程,野生动物活动,卡通人物互动,D,6.385
vid_0043,0043.mp4,9,视频画面中主要的花卉是？,玫瑰花,向日葵,荷花,菊花,B,6.406
vid_0044,0044.mp4,7,视频中主要展示的动物是什么？,鸡,羊,猪,牛,C,6.408
vid_0045,0045.mp4,6,视频里游玩区域大面积铺满的是什么？,水,沙子,积木,海洋球,D,6.453
vid_0046,0046.mp4,2,视频中可见的棋牌类物品是？,围棋,麻将,扑克牌,象棋,B,6.454
vid_0047,0047.mp4,13,视频里的女性主要在做什么？,打球,跳舞,做饭,走路,D,6.454
vid_0048,0048.mp4,10,视频中的女性主要在做什么？,跳舞,画画,做饭,打球,A,6.454
vid_0049,0049.mp4,16,视频中的女性主要在做什么？,关闭飞机舱门,播报广播通知,打扫客舱卫生,为乘客倒饮料,A,6.477
vid_0050,0050.mp4,1,画面中央主要展示的是什么？,自然森林风景,真实宠物小狗,可爱卡通形象,城市高楼建筑,C,6.524
vid_0051,0051.mp4,8,视频主要展示什么？,成年男子,宠物狗,宠物猫,小女孩,D,6.524
vid_0052,0052.mp4,3,视频主要展示的物体是什么？,汽车,飞机,自行车,轮船,A,6.57
vid_0053,0053.mp4,15,视频主要演示什么操作？,编辑短视频,拍摄风景照片,播放音乐,设置社交账号昵称,D,6.57
vid_0054,0054.mp4,17,视频里的人物主要在做什么？,唱歌跳舞,打理头发,看书学习,炒菜做饭,B,6.57
vid_0055,0055.mp4,14,视频里的人物主要在做什么？,做饭,跑步,唱歌,睡觉,D,6.592
vid_0056,0056.mp4,11,视频主要展示哪方面的内容？,旅游景点介绍,美食制作方法,服装穿搭教程,买车相关花费,D,6.594
vid_0057,0057.mp4,4,视频里的老奶奶们主要在做什么？,沿道路行走,下地干农活,在厨房做饭,跳广场舞,A,6.617
vid_0058,0058.mp4,12,视频中的人物主要在做什么？,烹饪做饭,唱歌跳舞,伏案答题,走路行进,D,6.686
vid_0059,0059.mp4,5,视频中的人物主要在做什么？,步行散步,骑自行车,滑滑板,跑步锻炼,B,6.708
vid_0060,0060.mp4,5,视频里的人物主要待在什么位置？,椅子上,双层床上铺,沙发上,地面上,B,6.71
vid_0061,0061.mp4,4,视频中的人物主要在做什么？,弹琴演奏,坐着面向镜头,跑步锻炼,生火做饭,B,6.71
vid_0062,0062.mp4,11,视频主要展示的是什么内容？,家常菜谱教学内容,旅游路线推荐内容,动漫剧情介绍内容,各省清华学生人数统计,D,6.731
vid_0063,0063.mp4,12,视频主要展示什么内容？,一家三口的合影,单人证件照片,美食特写画面,山水风景画面,A,6.733
vid_0064,0064.mp4,14,视频中多处出现的交通工具是？,汽车,轮船,自行车,飞机,A,6.756
vid_0065,0065.mp4,15,视频主要展示的是什么物品？,游戏装备,纸质图书,真实酒杯,烹饪食材,A,6.779
vid_0066,0066.mp4,17,视频的主要场景位于哪里？,菜市场门口,小区单元门口,学校门口,商场门口,C,6.779
vid_0067,0067.mp4,8,画面中的卡通动物主要在做什么？,蹦跳舞动,趴着睡觉,站着不动,吃东西,A,6.803
vid_0068,0068.mp4,3,画面下方的卡通熊主要在做什么？,蹦跳舞动,平躺睡觉,低头吃饭,安静站立,A,6.803
