video_file,video_sha256,video_bytes,formal_eligible,v1_session,v2_session,duration_sec,duration_bucket,has_question,question_status,review_status,source,question,option_A,option_B,option_C,option_D,answer
0001.mp4,70fba607536636ee71a1c2cbb0d1994631e758ee1b78fb9d50130f43951c1400,2762247,True,1,19,5.107,very_short,True,ready,independent_model_review_passed,online_reviewed,两车相遇时，从车窗伸出手的人在做什么？,挥手打招呼,伸手接雨,交换花束,丢弃垃圾,C
0002.mp4,9c996d7a2e18c089a2d441684fb5f0e499f9fff446e257a44a7bb2edb7e7b2e6,639414,True,7,21,5.129,very_short,True,ready,independent_model_review_passed,online_reviewed,视频里走廊区域摆放了大量什么物品？,家用电器,快递纸箱,健身器材,盆栽绿植,D
0003.mp4,bf50c23a7a970e58eb872dbce25cce7bece40a5c1ce12be36086e9f47026febf,633180,True,5,27,5.131,very_short,True,ready,independent_model_review_passed,online_reviewed,视频背景中的女生主要在做什么？,烹饪做饭,跳舞表演,对镜自拍,跑步锻炼,C
0004.mp4,fae4c89d7699c22a76228eaa1e19cd6b532b3f12334bed56a1bbe0be73f8ec2f,755151,True,6,18,5.154,very_short,True,ready,independent_model_review_passed,online_reviewed,视频内容主要和下列哪项活动有关？,装修施工,跑步锻炼,炒菜做饭,唱歌演出,A
0005.mp4,1212a2a04b677a4c9a815222f19a912a23b440174e76037ede66366f022a3c1b,1294348,True,10,37,5.177,very_short,True,ready,independent_model_review_passed,online_reviewed,视频主要展示的食物是？,奶茶,冰淇淋,馒头,烤肉,C
0006.mp4,4087f8590b1a26e5b7ede02ded9f149b3f11170d36860d17ec071c3e675fbe40,1464779,True,12,32,5.363,very_short,True,ready,independent_model_review_passed,online_reviewed,视频展现的主要场景是哪里？,高山草甸,海边沙滩,室内教室,城市街道,D
0007.mp4,f86b7f5cfcf024f8d863f0945493148f488ce71bbf73f417ca1a3e2990a37ac3,1971088,True,13,28,5.388,very_short,True,ready,independent_model_review_passed,online_reviewed,穿黑色上衣的男子主要在做什么？,写作业,弹奏吉他,反复挥动长刀具,煮面条,C
0008.mp4,76db32747513b536e6cd40ed5babd02fba030df2b0afc8e5600039dd7d3a55d3,404485,True,16,6,5.479,very_short,True,ready,independent_model_review_passed,online_reviewed,视频中的卡通人物主要在做什么？,磨刀,跳舞,扫地,炒菜,A
0009.mp4,9b9ef8aa5bac69318de810a03a71574d03fa3371acfdbecd100a9d545398b767,666610,True,16,5,5.479,very_short,True,ready,independent_model_review_passed,online_reviewed,视频中的主要女性人物在做什么？,跳舞,走路,做饭,打球,B
0010.mp4,fde06babe51dc4f86fb365d437349f1a214a3da609ad5427683e4a973d14b282,672462,True,13,3,5.479,very_short,True,ready,independent_model_review_passed,online_reviewed,画面中的女性主要在做什么？,走路,打球,做饭,跳舞,A
0011.mp4,ad2fb7ff29cfa24cb2344e61a4e3a356741e55bbdb43930f58ed2109800bacda,1945363,True,10,2,5.525,very_short,True,ready,independent_model_review_passed,online_reviewed,视频里的男女主要在做什么？,亲密相伴互动,激烈争吵打斗,伏案学习工作,一起烹饪做饭,A
